| end of split   1 /  1 | epoch 180 | time:  0.65s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0012
| end of split   1 /  1 | epoch 181 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0012
| end of split   1 /  1 | epoch 182 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0012
| end of split   1 /  1 | epoch 183 | time:  0.59s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0012
| end of split   1 /  1 | epoch 184 | time:  0.60s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0012
| end of split   1 /  1 | epoch 185 | time:  0.60s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0012
| end of split   1 /  1 | epoch 186 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0012
| end of split   1 /  1 | epoch 187 | time:  0.55s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0012
| end of split   1 /  1 | epoch 188 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0012
| end of split   1 /  1 | epoch 189 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0012
| end of split   1 /  1 | epoch 190 | time:  0.55s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0012
| end of split   1 /  1 | epoch 191 | time:  0.55s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0003
| end of split   1 /  1 | epoch 192 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0003
| end of split   1 /  1 | epoch 193 | time:  0.55s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0003
| end of split   1 /  1 | epoch 194 | time:  0.56s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0003
| end of split   1 /  1 | epoch 195 | time:  0.55s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0003
| end of split   1 /  1 | epoch 196 | time:  0.55s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0003
| end of split   1 /  1 | epoch 197 | time:  0.60s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0003
| end of split   1 /  1 | epoch 198 | time:  0.60s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0003
| end of split   1 /  1 | epoch 199 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0003
| end of split   1 /  1 | epoch 200 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0003
TEST: valid loss  1.55 | valid ppl     4.69
