| end of split   1 /  1 | epoch 155 | time:  0.54s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0195
| end of split   1 /  1 | epoch 156 | time:  0.54s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0195
| end of split   1 /  1 | epoch 157 | time:  0.55s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0195
| end of split   1 /  1 | epoch 158 | time:  0.55s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0195
| end of split   1 /  1 | epoch 159 | time:  0.55s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0049
| end of split   1 /  1 | epoch 160 | time:  0.65s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0049
| end of split   1 /  1 | epoch 161 | time:  0.65s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0049
| end of split   1 /  1 | epoch 162 | time:  0.54s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0049
| end of split   1 /  1 | epoch 163 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0049
| end of split   1 /  1 | epoch 164 | time:  0.59s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0049
| end of split   1 /  1 | epoch 165 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0049
| end of split   1 /  1 | epoch 166 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0049
| end of split   1 /  1 | epoch 167 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0049
| end of split   1 /  1 | epoch 168 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0049
| end of split   1 /  1 | epoch 169 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0049
| end of split   1 /  1 | epoch 170 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0012
| end of split   1 /  1 | epoch 171 | time:  0.61s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0012
| end of split   1 /  1 | epoch 172 | time:  0.61s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0012
| end of split   1 /  1 | epoch 173 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0012
| end of split   1 /  1 | epoch 174 | time:  0.61s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0012
| end of split   1 /  1 | epoch 175 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0012
| end of split   1 /  1 | epoch 176 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0012
| end of split   1 /  1 | epoch 177 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0012
| end of split   1 /  1 | epoch 178 | time:  0.58s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0012
| end of split   1 /  1 | epoch 179 | time:  0.55s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0012
| end of split   1 /  1 | epoch 180 | time:  0.54s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0012
| end of split   1 /  1 | epoch 181 | time:  0.54s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0003
| end of split   1 /  1 | epoch 182 | time:  0.55s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0003
| end of split   1 /  1 | epoch 183 | time:  0.54s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0003
| end of split   1 /  1 | epoch 184 | time:  0.54s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0003
